listing_id,weekly_rent,bond,bedrooms,bathrooms,car_spaces,property_type_primary,property_type_secondary,address,suburb,state,postcode,lat,lon,orientation_degrees,orientation_cardinal
11656922,550.0,,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,4404/81 A' Beckett Street,Melbourne,VIC,3000.0,-37.8092997,144.9614097,229.88440160521313,SW
11663949,,1517.0,1.0,1.0,1.0,Apartment,Apartment / Unit / Flat,14/41 Northcote Avenue,Caulfield North,VIC,3161.0,-37.8784321,145.0285026,229.10968547632405,SW
11669016,400.0,1738.0,3.0,2.0,2.0,House,House,125 Bridge Road,Melton South,VIC,3338.0,-37.7147821,144.5779076,232.09420180909115,SW
11701627,830.0,3597.0,4.0,3.0,1.0,House,House,2a Price Street,Essendon,VIC,3040.0,-37.7541397,144.8943171,230.55816598565426,SW
11776848,,,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,Chelsea VIC 3196,Chelsea,VIC,3196.0,-38.051111,145.121944,227.5024493346526,SW
11777326,310.0,1564.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,117-119 Ballarat Road,Footscray,VIC,3011.0,-37.7931283,144.8954952,230.27329925336633,SW
11777463,340.0,1477.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,2/117-119 Ballarat Road,Footscray,VIC,3011.0,-37.7931477,144.8954491,230.27335003791202,SW
11777537,340.0,1477.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,17/117-119 Ballarat Road,Footscray,VIC,3011.0,-37.793161,144.8954434,230.27327829441137,SW
11791587,310.0,1347.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,22/117-119 Ballarat Road,Footscray,VIC,3011.0,-37.7931477,144.8954491,230.27335003791202,SW
11791793,340.0,1477.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,12/117-119 Ballarat Road,Footscray,VIC,3011.0,-37.7931477,144.8954491,230.27335003791202,SW
11833919,520.0,2260.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,4/39 Derby Street,Kew,VIC,3101.0,-37.8023127,145.0371322,229.61584273059992,SW
11841106,545.0,2368.0,3.0,2.0,2.0,House,House,16 Oakham Drive,Williams Landing,VIC,3027.0,-37.8632682,144.7358631,230.42325741248317,SW
11844010,750.0,3259.0,2.0,2.0,2.0,Apartment,Apartment / Unit / Flat,109/8 Luton Lane,Hawthorn,VIC,3122.0,-37.823106,145.034398,229.47838572308785,SW
11845762,390.0,1695.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,2/14 Alamein Street,Noble Park,VIC,3174.0,-37.9583385,145.1671531,227.9478120582855,SW
11850097,340.0,1477.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,10/117-119 Ballarat Road,Footscray,VIC,3011.0,-37.7931477,144.8954491,230.27335003791202,SW
11908492,595.0,2586.0,3.0,2.0,1.0,Townhouse/Villa,Townhouse,48B Wolverhampton Street,Footscray,VIC,3011.0,-37.797451,144.891229,230.2599192016134,SW
11931687,980.0,4258.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,2101/200 Spencer St,Melbourne,VIC,3000.0,-37.816228,144.9532465,229.868939495092,SW
11931968,39000.0,3033.0,,1.0,0.0,Apartment,Studio,30 South Concourse,Beaumaris,VIC,3193.0,-37.9865947,145.0341946,228.3273190218681,SW
11944476,500.0,2173.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,1509/3 Yarra Street,South Yarra,VIC,3141.0,-37.83843359999999,144.9927745,229.54490763168545,SW
11970124,340.0,1477.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,30/117-119 Ballarat Road,Footscray,VIC,3011.0,-37.7931477,144.8954491,230.27335003791202,SW
