listing_id,weekly_rent,bond,bedrooms,bathrooms,car_spaces,lat,lon,property_type_primary,property_type_secondary,address,suburb,state,postcode,source_file
17742356,520.0,2260.0,1.0,1.0,0.0,-37.8350021,144.9961678,Apartment,Apartment / Unit / Flat,314/681-709 Chapel Street,South Yarra,VIC,3141,17742356.html
17742359,620.0,2694.0,2.0,1.0,0.0,-37.8689551,144.9848786,Apartment,Apartment / Unit / Flat,5/61 Blessington Street,St Kilda,VIC,3182,17742359.html
17742363,640.0,2868.0,3.0,2.0,2.0,-38.3669392,144.9172323,House,House,67 Fairway Grove,Rosebud,VIC,3939,17742363.html
17742364,430.0,1868.0,1.0,1.0,1.0,-37.8583778,144.9993075,Apartment,Apartment / Unit / Flat,21/231 Dandenong Road,Prahran,VIC,3181,17742364.html
17742365,500.0,2173.0,2.0,1.0,1.0,-37.8117241,145.0817841,Apartment,Apartment / Unit / Flat,4/100 Balwyn Road,Balwyn,VIC,3103,17742365.html
17742367,1390.0,1390.0,1.0,1.0,1.0,-37.7822228,144.8242099,Apartment,Apartment / Unit / Flat,21 23 King Edward Avenue,Albion,VIC,3020,17742367.html
17742371,570.0,2280.0,3.0,1.0,2.0,-36.0522595,146.9885163,House,House,73 Buller Crescent,Thurgoona,NSW,2640,17742371.html
17742377,570.0,2477.0,5.0,2.0,2.0,-37.8459119,144.6701879,House,House,16 Balladong Crescent,Tarneit,VIC,3029,17742377.html
17742378,580.0,2520.0,4.0,2.0,2.0,-37.60537,145.1254916,House,House,16 Windermere Parade,Doreen,VIC,3754,17742378.html
17742384,700.0,3041.0,3.0,1.0,1.0,-37.7925391,145.1650366,Apartment,Apartment / Unit / Flat,1/8 Ireland Avenue,Doncaster East,VIC,3109,17742384.html
17742392,615.0,2672.0,4.0,2.0,2.0,-38.1326995,145.3746017,House,House,126 Bellavita Avenue,Clyde,VIC,3978,17742392.html
17742394,550.0,2390.0,2.0,1.0,1.0,-37.859905,145.0054631,Apartment,Apartment / Unit / Flat,8/310 Dandenong Road,St Kilda East,VIC,3183,17742394.html
17742396,850.0,3693.0,2.0,2.0,2.0,-37.8544158,144.9804421,Apartment,Apartment / Unit / Flat,1201/83 Queens Road,Melbourne,VIC,3004,17742396.html
17742397,690.0,2998.0,3.0,1.0,3.0,-37.9165286,145.113921,House,House,19 Margaret Street,Clayton,VIC,3168,17742397.html
17742398,730.0,3172.0,2.0,1.0,0.0,-37.7848592,144.9898515,House,House,24 Woodside Street,Fitzroy North,VIC,3068,17742398.html
17742399,650.0,2824.0,2.0,2.0,1.0,-37.7797873,144.9392885,Apartment,Apartment / Unit / Flat,215/67 Galada Avenue,Parkville,VIC,3052,17742399.html
17742401,800.0,3476.0,2.0,2.0,1.0,-37.9379437,145.0017146,Apartment,Apartment / Unit / Flat,506/12 Railway Walk,Hampton,VIC,3188,17742401.html
17742402,800.0,3476.0,2.0,2.0,0.0,-37.81450030000001,144.9540216,Apartment,Apartment / Unit / Flat,3507/618 Lonsdale St,Melbourne,VIC,3000,17742402.html
17742403,1150.0,4997.0,3.0,2.0,2.0,-37.8795203,145.0284685,House,House,7 Linlithgow Ave,Caulfield North,VIC,3161,17742403.html
17742405,460.0,1999.0,1.0,1.0,1.0,-37.9489695,145.0043123,Apartment,Apartment / Unit / Flat,323/18-34 Station Street,Sandringham,VIC,3191,17742405.html
17742408,520.0,2260.0,5.0,2.0,4.0,-37.7053286,144.5761593,House,House,8 Toolern Street,Melton South,VIC,3338,17742408.html
17742410,550.0,2390.0,2.0,2.0,1.0,-37.707504,144.9756754,Townhouse/Villa,Townhouse,3/119 McBryde St,Fawkner,VIC,3060,17742410.html
17742411,2200.0,13200.0,4.0,2.0,3.0,-37.9179277,144.9956361,House,House,15 Huntingfield Road,Brighton,VIC,3186,17742411.html
17742412,520.0,2260.0,2.0,1.0,1.0,-37.736687,145.002508,Apartment,Apartment / Unit / Flat,5/1 West Street,Preston,VIC,3072,17742412.html
17742414,370.0,1608.0,3.0,1.0,1.0,-37.2779601,144.7274527,House,House,7 Foy St,Lancefield,VIC,3435,17742414.html
17742417,795.0,3454.0,5.0,2.0,3.0,-37.82619770000001,145.2905698,House,House,1 Galloway Grove,Bayswater North,VIC,3153,17742417.html
17742442,310.0,1347.0,1.0,1.0,0.0,-37.9076278,145.128204,Townhouse/Villa,Townhouse,5 Beddoe Avenue,Clayton,VIC,3168,17742442.html
17742447,820.0,3563.0,3.0,1.0,1.0,-37.8496177,144.9904793,Apartment,Apartment / Unit / Flat,58/108 Greville Street,Prahran,VIC,3181,17742447.html
17742448,580.0,2520.0,3.0,1.0,4.0,-38.069578,145.4849624,House,House,6 Waroona Court,Pakenham,VIC,3810,17742448.html
17742451,490.0,2129.0,4.0,2.0,2.0,-37.5867789,143.8016462,House,House,30 Corvara Drive,Winter Valley,VIC,3358,17742451.html
17742452,580.0,2320.0,3.0,2.0,2.0,-38.1855007,144.3347909,House,House,19 Nott Street,Belmont,VIC,3216,17742452.html
17742455,520.0,2259.0,3.0,1.0,1.0,-36.1253153,146.870554,House,House,22 Waratah Way,Wodonga,VIC,3690,17742455.html
